Gender,Age,HeadCircumference,ShoulderWidth,ChestWidth,Belly,Waist,Hips,ArmLength,ShoulderToWaist,WaistToKnee,LegLength,TotalHeight
1.0,15.0,19.0,17.0,15.2,21.0,11.0,15.0,20.0,20.0,20.0,40.0,50
2.0,19.0,21.0,18.0,11.0,21.0,10.0,13.0,20.0,23.0,15.0,30.0,48
2.0,21.4,17.0,15.0,15.2,21.0,10.0,19.7,19.3,10.0,17.3,18.0,23
1.0,21.4,19.0,12.0,15.2,21.0,11.0,19.7,10.0,12.0,10.0,20.0,32
1.0,21.4,20.0,12.0,11.0,21.0,20.0,13.0,19.0,21.0,15.0,30.0,40
1.0,16.0,22.0,17.0,15.2,21.0,10.0,12.0,21.0,23.0,18.0,32.0,47
1.0,21.0,24.0,18.0,10.0,10.0,13.0,13.0,22.0,24.0,19.0,38.0,50
1.0,32.0,23.0,18.0,11.0,12.0,12.0,12.0,24.0,26.0,21.0,42.0,60
1.0,14.0,20.0,17.0,10.0,10.0,11.0,12.0,21.0,24.0,19.0,38.0,43
1.0,21.4,20.0,16.0,10.0,21.0,12.0,12.0,18.0,20.0,14.0,28.0,38
1.0,21.4,18.0,10.0,11.0,10.0,10.0,10.0,20.0,21.0,16.0,32.0,41
1.0,29.0,22.0,18.0,12.0,11.0,12.0,15.0,23.0,26.0,21.0,42.0,54
1.0,28.0,20.0,18.0,14.0,12.0,10.0,16.0,23.0,25.0,20.0,40.0,46
1.0,35.0,22.0,19.0,15.0,14.0,14.0,15.0,24.0,26.0,22.0,44.0,72
1.0,30.0,22.0,18.0,12.0,13.0,15.0,15.0,23.0,25.0,21.0,42.0,64
2.0,24.0,24.0,17.0,15.0,12.0,13.0,15.0,22.0,24.0,16.0,32.0,57
1.0,30.0,23.0,18.0,12.0,29.0,32.0,16.0,22.0,20.0,21.0,20.0,64
2.0,21.4,18.0,11.0,10.0,22.0,37.0,23.0,13.0,10.0,10.0,17.0,22
1.0,20.0,22.0,18.0,16.0,30.0,37.0,28.0,25.0,19.0,22.0,40.0,46
1.0,34.0,23.0,20.0,17.0,34.0,41.0,24.0,25.0,18.0,22.0,40.0,59
1.0,35.0,24.0,21.0,18.0,37.0,28.0,24.0,23.0,17.0,23.0,39.0,57
1.0,12.0,20.0,14.0,12.0,27.0,33.0,27.0,18.0,14.0,14.0,29.0,57
1.0,30.0,23.0,18.0,15.0,29.0,26.0,20.0,23.0,22.0,22.0,41.0,64
1.0,15.0,20.0,14.0,11.0,23.0,23.0,15.0,19.0,17.0,14.0,30.0,50
1.0,18.0,19.0,18.0,15.0,28.0,34.0,28.0,25.0,24.0,23.0,39.0,80
1.0,17.0,21.0,16.0,13.0,28.0,25.0,28.0,22.0,20.0,18.0,36.0,79
1.0,10.0,21.0,14.0,15.2,25.0,42.0,26.0,17.0,17.0,18.0,26.0,71
1.0,25.0,27.0,20.0,17.0,37.0,42.0,28.0,23.0,20.0,17.0,37.0,60
1.0,32.0,25.0,19.0,16.0,37.0,36.0,19.7,23.0,23.0,20.0,38.0,24
1.0,34.0,22.0,19.0,17.0,32.0,38.0,24.0,24.0,25.0,19.0,36.0,59
1.0,37.0,24.0,20.0,18.0,36.0,38.0,37.0,23.0,20.0,23.0,39.0,68
2.0,21.4,11.0,15.0,16.0,13.0,13.0,14.0,19.3,18.1,17.3,13.0,21
1.0,21.4,12.0,15.0,17.0,12.0,13.0,15.0,19.3,18.1,17.3,13.0,20
2.0,21.4,11.0,15.0,15.0,13.0,12.0,14.0,19.3,10.0,17.3,13.0,22
1.0,21.4,13.0,15.0,18.0,14.0,14.0,17.0,10.0,18.1,17.3,14.0,23
1.0,21.4,18.0,15.0,20.0,20.0,22.0,20.0,19.3,12.0,17.3,15.0,24
2.0,21.4,12.0,15.0,16.0,13.0,12.0,15.0,10.0,10.0,17.3,12.0,20
1.0,21.4,22.0,11.0,22.0,20.0,21.0,22.0,19.3,14.0,13.0,24.0,27
2.0,21.4,20.0,10.0,20.0,20.0,21.0,22.0,19.3,14.0,13.0,23.0,24
2.0,21.4,22.0,11.0,21.0,20.0,23.0,24.0,10.0,10.0,13.0,22.0,25
1.0,21.4,22.0,15.0,20.0,19.0,18.0,20.0,19.0,22.0,12.0,16.0,45
2.0,21.4,20.0,14.0,19.0,17.0,16.0,18.0,18.0,20.0,12.0,26.0,43
2.0,21.4,21.0,15.0,19.0,17.0,16.0,18.0,18.0,21.0,12.0,37.0,45
1.0,21.4,20.0,13.0,26.0,23.0,26.0,27.0,10.0,19.0,19.0,31.0,52
2.0,21.4,23.0,15.0,26.0,21.0,20.0,22.0,13.0,19.0,18.0,32.0,55
1.0,10.0,24.0,16.0,27.0,24.0,23.0,24.0,17.0,19.0,20.0,33.0,50
2.0,11.0,25.0,16.0,27.0,28.0,25.0,28.0,21.0,22.0,45.0,49.0,59
2.0,12.0,26.0,14.0,28.0,24.0,25.0,27.0,22.0,23.0,26.0,40.0,60
1.0,13.0,28.0,19.0,27.0,23.0,24.0,27.0,21.0,23.0,26.0,40.0,62
2.0,19.0,29.0,19.0,31.0,28.0,28.0,28.0,30.0,26.0,30.0,46.0,68
1.0,20.0,26.0,17.0,28.0,21.0,26.0,28.0,27.0,26.0,29.0,40.0,67
1.0,21.0,28.0,18.0,28.0,23.0,25.0,27.0,21.0,27.0,29.0,43.0,69
2.0,22.0,20.0,28.0,19.0,28.0,22.0,26.0,28.0,27.0,26.0,40.0,68
2.0,23.0,20.0,18.0,28.0,23.0,25.0,26.0,25.0,28.0,28.0,41.0,69
1.0,24.0,28.0,18.0,28.0,23.0,24.0,26.0,28.0,27.0,27.0,42.0,72
2.0,25.0,26.0,20.0,37.0,28.0,26.0,27.0,28.0,28.0,27.0,42.0,74
1.0,26.0,26.0,20.0,38.0,27.0,28.0,27.0,27.0,26.0,25.0,40.0,85
1.0,27.0,28.0,20.0,31.0,30.0,32.0,38.0,30.0,28.0,27.0,41.0,86
2.0,20.0,29.0,20.0,32.0,28.0,32.0,32.0,28.0,29.0,29.0,42.0,89
1.0,21.4,11.0,15.0,15.0,13.0,12.0,14.0,19.3,18.1,17.3,13.0,19
2.0,21.4,11.0,15.0,16.0,13.0,13.0,15.0,19.3,18.1,17.3,13.0,20
1.0,21.4,20.0,15.0,22.0,21.0,21.0,20.0,19.3,14.0,13.0,22.0,38
2.0,21.4,22.0,11.0,23.0,22.0,24.0,24.0,19.3,17.0,15.0,26.0,44
1.0,21.4,19.0,15.0,21.0,20.0,22.0,20.0,19.3,13.0,17.3,16.0,31
